unix,date,symbol,open,high,low,close,Volume BTC,Volume USDT,tradecount
1567036800000,2019-08-29 00:00:00,BTC/USDT,9721.0,9724.0,9320.0,9498.44,35532.69491,337838761.5572865,343887
1567123200000,2019-08-30 00:00:00,BTC/USDT,9499.01,9696.0,9350.41,9584.54,26834.318104,255854874.4507745,259270
1567209600000,2019-08-31 00:00:00,BTC/USDT,9582.76,9684.51,9420.75,9587.47,17130.290074,164116756.46299693,199188
1567296000000,2019-09-01 00:00:00,BTC/USDT,9588.74,9830.0,9520.0,9724.98,19545.404843,188513289.12235728,191324
1567382400000,2019-09-02 00:00:00,BTC/USDT,9723.59,10450.0,9712.5,10340.0,44740.248093,448462178.630381,354155
1567468800000,2019-09-03 00:00:00,BTC/USDT,10340.0,10773.0,10272.0,10615.28,47998.376781,505617667.3992669,416076
1567555200000,2019-09-04 00:00:00,BTC/USDT,10611.85,10799.0,10369.89,10567.02,43943.889026,463526509.325937,383457
1567641600000,2019-09-05 00:00:00,BTC/USDT,10565.92,10900.0,10450.0,10564.49,33970.960639,358861340.7897901,309846
1567728000000,2019-09-06 00:00:00,BTC/USDT,10563.13,10905.87,10150.0,10298.73,58799.640959,623662984.3843305,455334
1567814400000,2019-09-07 00:00:00,BTC/USDT,10298.71,10558.0,10288.57,10455.88,27637.877392,287851131.1802577,272011
1567900800000,2019-09-08 00:00:00,BTC/USDT,10455.9,10592.5,10208.0,10381.18,23984.672018,249900964.37153128,237752
1567987200000,2019-09-09 00:00:00,BTC/USDT,10381.24,10480.0,10068.5,10303.12,39835.727608,409724831.94712263,330459
1568073600000,2019-09-10 00:00:00,BTC/USDT,10302.58,10384.99,9953.0,10098.15,28915.412225,294323839.5070076,286763
1568160000000,2019-09-11 00:00:00,BTC/USDT,10098.19,10293.0,9880.0,10158.33,31953.824562,321637085.47650874,309120
1568246400000,2019-09-12 00:00:00,BTC/USDT,10158.75,10448.81,10040.0,10415.01,34511.162755,353390090.96777725,317881
1568332800000,2019-09-13 00:00:00,BTC/USDT,10415.01,10439.0,10153.0,10342.06,30280.339776,311632094.25618845,304947
1568419200000,2019-09-14 00:00:00,BTC/USDT,10344.13,10419.99,10222.33,10335.02,23621.533519,244063007.09022477,253929
1568505600000,2019-09-15 00:00:00,BTC/USDT,10332.81,10360.0,10252.15,10302.01,18047.654013,185853330.43704256,194733
