unix,date,symbol,open,high,low,close,Volume BTC,Volume USDT,tradecount
1617887820000,2021-04-08 13:17:00,BTC/USDT,57347.12,57361.43,57321.25,57356.47,29.638443,1699432.68704561,1157
1617887880000,2021-04-08 13:18:00,BTC/USDT,57356.48,57361.05,57312.09,57334.09,26.196495,1502274.14154739,919
1617887940000,2021-04-08 13:19:00,BTC/USDT,57334.08,57342.91,57318.0,57323.31,35.896778,2057965.45425815,958
1617888000000,2021-04-08 13:20:00,BTC/USDT,57323.31,57357.93,57323.31,57343.33,21.893133,1255372.16034336,970
1617888060000,2021-04-08 13:21:00,BTC/USDT,57343.33,57350.53,57320.35,57320.38,22.478715,1288781.26463349,892
1617888120000,2021-04-08 13:22:00,BTC/USDT,57320.39,57328.72,57289.07,57314.11,32.41321,1857673.67223148,1009
1617888180000,2021-04-08 13:23:00,BTC/USDT,57314.11,57315.81,57303.47,57312.5,16.76893,961088.05778079,769
1617888240000,2021-04-08 13:24:00,BTC/USDT,57312.5,57349.92,57312.49,57336.95,23.953803,1373345.12132467,875
1617888300000,2021-04-08 13:25:00,BTC/USDT,57336.96,57340.03,57312.45,57332.6,22.199842,1272713.08568046,853
1617888360000,2021-04-08 13:26:00,BTC/USDT,57332.21,57380.65,57331.24,57380.02,30.724265,1762193.47613331,1027
1617888420000,2021-04-08 13:27:00,BTC/USDT,57380.03,57452.33,57363.66,57445.21,69.155735,3970234.39281823,1473
1617888480000,2021-04-08 13:28:00,BTC/USDT,57441.56,57464.03,57420.71,57454.95,32.645142,1875260.07276591,1235
1617888540000,2021-04-08 13:29:00,BTC/USDT,57454.94,57463.6,57426.3,57445.77,31.983094,1837331.02779715,1091
1617888600000,2021-04-08 13:30:00,BTC/USDT,57445.77,57456.1,57419.63,57445.57,28.389698,1630792.36900099,946
1617888660000,2021-04-08 13:31:00,BTC/USDT,57445.57,57491.25,57445.57,57480.35,26.18844,1504910.59018676,992
1617888720000,2021-04-08 13:32:00,BTC/USDT,57480.36,57500.0,57480.33,57499.99,69.116809,3973914.42497847,1072
1617888780000,2021-04-08 13:33:00,BTC/USDT,57499.99,57541.42,57486.28,57539.55,59.990722,3450623.01472213,1189
1617888840000,2021-04-08 13:34:00,BTC/USDT,57539.56,57615.27,57492.36,57598.99,82.134584,4727573.61118317,2706
1617888900000,2021-04-08 13:35:00,BTC/USDT,57596.12,57710.66,57596.11,57644.95,142.277978,8205380.13867179,4042
1617888960000,2021-04-08 13:36:00,BTC/USDT,57644.95,57677.18,57644.94,57650.01,53.268214,3071759.47590397,1386
