id,impact.gap,magnitude,significance,depth,location.distance,location.full,location.latitude,location.longitude,location,time.day,time.epoch,time.full,time.hour,time.minute,time.month,time.second,time.year
nc72666881,122,1.43,31,15.12,0.1034,"13km E of Livermore, California",37.6723333,-121.619,California,27,1.46959E+12,7/27/16 0:19,0,19,7,43,2016
us20006i0y,30,4.9,371,97.07,1.439,"58km WNW of Pakokku, Burma",21.5146,94.5721,Burma,27,1.46959E+12,7/27/16 0:20,0,20,7,28,2016
nc72666891,249,0.06,0,4.39,0.02743,"12km SE of Mammoth Lakes, California",37.5765,-118.8591667,California,27,1.46959E+12,7/27/16 0:31,0,31,7,37,2016
nc72666896,122,0.4,2,1.09,0.02699,"6km SSW of Mammoth Lakes, California",37.5958333,-118.9948333,California,27,1.46959E+12,7/27/16 0:35,0,35,7,44,2016
nn00553447,113.61,0.3,1,7.6,0.063,"16km SSE of Mogul, Nevada",39.3775,-119.845,Nevada,27,1.46959E+12,7/27/16 0:41,0,41,7,59,2016
ak13805337,50.39999597,1.8,50,1.3,0.04491576,"91km N of Redoubt Volcano, Alaska",61.2963,-152.46,Alaska,27,1.4696E+12,7/27/16 0:52,0,52,7,52,2016
hv61354276,93,1,15,2.452,0.0266,"27km E of Honaunau-Napoopoo, Hawaii",19.4235,-155.6098333,Hawaii,27,1.4696E+12,7/27/16 0:53,0,53,7,35,2016
ak13805339,86.39999309,2,62,0.1,0.04581408,"92km NW of Nikiski, Alaska",61.3019,-152.4507,Alaska,27,1.4696E+12,7/27/16 0:58,0,58,7,45,2016
ci37640584,149,1.2,22,0.18,0.1688,"12km SE of Bodfish, CA",35.503,-118.4058333,California,27,1.4696E+12,7/27/16 1:03,1,3,7,0,2016
nc72666901,87,1.67,43,12.91,0.106,"13km E of Livermore, California",37.673,-121.6133333,California,27,1.4696E+12,7/27/16 1:04,1,4,7,32,2016
ci37640592,75,0.48,4,13.85,0.04401,"14km WNW of Anza, CA",33.5888333,-116.8165,California,27,1.4696E+12,7/27/16 1:09,1,9,7,51,2016
