unix,date,symbol,open,high,low,close,Volume ETH,Volume USDT,tradecount
1513555200000.0,2017-12-18 00:00:00,ETH/USDT,707.62,798.88,638.0,784.0,45673.70777,32799947.57,40460.0
1513641600000.0,2017-12-19 00:00:00,ETH/USDT,784.0,864.9,729.01,798.0,69423.62125,55123972.02,57020.0
1513728000000.0,2017-12-20 00:00:00,ETH/USDT,798.0,828.0,661.0,790.21,72526.28416,55604509.75,58344.0
1513814400000.0,2017-12-21 00:00:00,ETH/USDT,794.62,845.99,705.98,782.41,78222.53998,62052521.65,57627.0
1513900800000.0,2017-12-22 00:00:00,ETH/USDT,784.0,796.0,504.99,635.97,154630.49482,98661808.48,113138.0
1513987200000.0,2017-12-23 00:00:00,ETH/USDT,635.15,714.99,627.97,640.34,79001.05634,53738833.88,79260.0
1514073600000.0,2017-12-24 00:00:00,ETH/USDT,640.33,667.64,563.49,658.0,95431.94156,59101715.15,108808.0
1514160000000.0,2017-12-25 00:00:00,ETH/USDT,659.4,744.0,599.99,714.95,78544.84102,55108579.68,86060.0
1514246400000.0,2017-12-26 00:00:00,ETH/USDT,713.12,750.0,712.56,750.0,60052.47905,44216631.9,78690.0
1514332800000.0,2017-12-27 00:00:00,ETH/USDT,750.0,766.05,693.18,739.89,51339.2782,38102246.99,72364.0
1514419200000.0,2017-12-28 00:00:00,ETH/USDT,739.89,744.93,645.88,707.89,72679.61288,50030889.11,94413.0
1514505600000.0,2017-12-29 00:00:00,ETH/USDT,709.5,757.87,703.0,733.99,64028.12647,46838775.82,89024.0
1514592000000.0,2017-12-30 00:00:00,ETH/USDT,732.9,735.0,635.82,681.06,89879.99994,61752153.66,123765.0
1514678400000.0,2017-12-31 00:00:00,ETH/USDT,680.01,740.0,672.86,733.98,62628.24458,44570894.8,92610.0
1514764800000.0,2018-01-01 00:00:00,ETH/USDT,733.01,763.55,716.8,754.99,53909.25885,40049370.59,75314.0
1514851200000.0,2018-01-02 00:00:00,ETH/USDT,754.99,899.5,749.06,855.28,113257.78355,95749946.06,142511.0
1514937600000.0,2018-01-03 00:00:00,ETH/USDT,855.13,950.01,810.0,934.03,89041.45688,78173093.71,118866.0
1515024000000.0,2018-01-04 00:00:00,ETH/USDT,934.03,1009.72,890.01,940.0,102894.47384,97740086.59,132633.0
1515110400000.0,2018-01-05 00:00:00,ETH/USDT,940.0,1045.0,930.0,959.3,97374.0163,95739901.48,124438.0
1515196800000.0,2018-01-06 00:00:00,ETH/USDT,958.0,1017.56,950.0,1004.11,71954.27895,71196052.34,91685.0
1515283200000.0,2018-01-07 00:00:00,ETH/USDT,1003.71,1125.0,999.9,1123.09,65278.81957,70126945.17,89192.0
1515369600000.0,2018-01-08 00:00:00,ETH/USDT,1123.09,1239.18,910.0,1133.18,158831.54798,176599793.21,171664.0
1515456000000.0,2018-01-09 00:00:00,ETH/USDT,1133.18,1326.5,1104.85,1291.0,118702.88684,143246762.08,152628.0
1515542400000.0,2018-01-10 00:00:00,ETH/USDT,1291.0,1440.0,1201.1,1247.0,160185.0129,210902815.47,191352.0
1515628800000.0,2018-01-11 00:00:00,ETH/USDT,1249.03,1332.49,1021.0,1138.93,194546.29387,230792205.88,210914.0
1515715200000.0,2018-01-12 00:00:00,ETH/USDT,1136.45,1288.5,1069.01,1253.87,93763.47261,113367281.77,117851.0
1515801600000.0,2018-01-13 00:00:00,ETH/USDT,1253.87,1427.01,1252.0,1388.02,75893.43201,101824625.26,115872.0
1515888000000.0,2018-01-14 00:00:00,ETH/USDT,1388.1,1391.89,1220.89,1347.0,98391.19585,128517479.72,124920.0
1515974400000.0,2018-01-15 00:00:00,ETH/USDT,1347.99,1383.13,1258.12,1271.0,69236.70476,90732886.24,105410.0
1516060800000.0,2018-01-16 00:00:00,ETH/USDT,1268.67,1275.01,780.0,1000.0,343889.36509,355819297.46,304696.0
1516147200000.0,2018-01-17 00:00:00,ETH/USDT,999.99,1075.51,755.0,1000.0,436333.67326,398063123.66,391331.0
1516233600000.0,2018-01-18 00:00:00,ETH/USDT,1000.0,1075.2,924.21,994.0,294545.71207,296964713.71,278162.0
1516320000000.0,2018-01-19 00:00:00,ETH/USDT,993.3,1079.0,941.0,1032.5,167954.11253,171217738.32,171662.0
1516406400000.0,2018-01-20 00:00:00,ETH/USDT,1032.5,1165.4,1031.0,1152.75,123352.58362,137333158.13,139129.0
1516492800000.0,2018-01-21 00:00:00,ETH/USDT,1150.37,1152.69,998.0,1049.0,175031.00789,186353755.57,189013.0
1516579200000.0,2018-01-22 00:00:00,ETH/USDT,1049.0,1090.15,908.0,993.0,185212.52002,185276703.38,200594.0
1516665600000.0,2018-01-23 00:00:00,ETH/USDT,993.0,1030.0,909.0,980.0,160159.63958,156053774.31,188114.0
1516752000000.0,2018-01-24 00:00:00,ETH/USDT,981.2,1074.0,953.09,1061.0,134257.7947,135793371.3,164024.0
1516838400000.0,2018-01-25 00:00:00,ETH/USDT,1060.34,1115.0,1030.26,1056.52,119415.93495,127855243.17,140455.0
1516924800000.0,2018-01-26 00:00:00,ETH/USDT,1055.29,1082.0,986.0,1051.03,145113.638,150237011.3,168271.0
1517011200000.0,2018-01-27 00:00:00,ETH/USDT,1051.03,1127.99,1032.2,1118.99,96894.33839,105043056.38,130125.0
1517097600000.0,2018-01-28 00:00:00,ETH/USDT,1118.99,1277.0,1112.0,1251.96,143510.73586,173283524.88,191653.0
1517184000000.0,2018-01-29 00:00:00,ETH/USDT,1251.96,1258.89,1161.65,1177.01,105292.76808,126282956.24,172601.0
1517270400000.0,2018-01-30 00:00:00,ETH/USDT,1177.01,1186.85,1051.0,1085.5,155278.55404,173857602.76,257484.0
1517356800000.0,2018-01-31 00:00:00,ETH/USDT,1084.63,1135.0,1029.0,1124.81,100372.03783,109226169.4,191394.0
1517443200000.0,2018-02-01 00:00:00,ETH/USDT,1125.96,1164.99,981.0,1041.94,203355.29052,220810878.73,343466.0
1517529600000.0,2018-02-02 00:00:00,ETH/USDT,1041.89,1047.2,783.67,922.3,377375.22874,348077470.82,501434.0
1517616000000.0,2018-02-03 00:00:00,ETH/USDT,923.67,998.0,851.0,971.0,160037.88129,150132852.17,277958.0
1517702400000.0,2018-02-04 00:00:00,ETH/USDT,971.0,975.0,789.0,823.56,186446.0316,163419119.01,291397.0
1517788800000.0,2018-02-05 00:00:00,ETH/USDT,821.6,862.47,634.94,697.92,365516.52899,270801309.65,430516.0
1517875200000.0,2018-02-06 00:00:00,ETH/USDT,697.93,798.0,570.1,779.25,648944.4204,435291131.05,685832.0
1517961600000.0,2018-02-07 00:00:00,ETH/USDT,779.99,849.0,714.18,754.0,356403.4441,282259408.69,394597.0
1518048000000.0,2018-02-08 00:00:00,ETH/USDT,753.19,786.93,751.0,781.66,10516.2619,8110366.55,8507.0
1518134400000.0,2018-02-09 00:00:00,ETH/USDT,781.66,882.2,781.66,877.0,95447.67289,81316368.02,196544.0
1518220800000.0,2018-02-10 00:00:00,ETH/USDT,876.3,911.2,800.0,851.15,214818.06768,184921264.98,342039.0
1518307200000.0,2018-02-11 00:00:00,ETH/USDT,851.15,857.0,768.28,808.99,189323.408,154647315.02,318895.0
1518393600000.0,2018-02-12 00:00:00,ETH/USDT,808.58,877.56,807.46,866.66,143586.93121,122610007.86,300970.0
1518480000000.0,2018-02-13 00:00:00,ETH/USDT,866.39,871.0,820.0,841.57,110305.93537,92966057.38,234604.0
1518566400000.0,2018-02-14 00:00:00,ETH/USDT,841.57,924.99,841.3,919.09,150342.85558,133514830.9,297425.0
1518652800000.0,2018-02-15 00:00:00,ETH/USDT,919.09,946.66,895.59,924.55,155637.78524,143817533.14,308893.0
1518739200000.0,2018-02-16 00:00:00,ETH/USDT,924.55,948.48,901.36,938.67,115540.16349,107292023.64,247188.0
1518825600000.0,2018-02-17 00:00:00,ETH/USDT,938.6,974.0,933.48,969.99,110091.03618,105637458.53,224139.0
1518912000000.0,2018-02-18 00:00:00,ETH/USDT,969.99,978.5,897.0,911.0,160129.79518,149501060.85,287445.0
1518998400000.0,2018-02-19 00:00:00,ETH/USDT,911.0,956.22,906.04,938.11,80099.49534,75083849.38,188985.0
