unix,date,symbol,open,high,low,close,Volume BTC,Volume USDT,tradecount
1513555200000,2017-12-18 00:00:00,BTC,18860.04,19300.0,17029.98,18856.25,10624.63,196339245.75,91956
1513641600000,2017-12-19 00:00:00,BTC,18856.25,18950.0,16300.0,17295.2,13210.75,232790625.92,116569
1513728000000,2017-12-20 00:00:00,BTC,17295.2,17720.35,14777.66,16488.98,13450.5,221193892.5,129762
1513814400000,2017-12-21 00:00:00,BTC,16480.52,17309.5,14022.0,15492.64,20324.22,320176825.29,117731
1513900800000,2017-12-22 00:00:00,BTC,15514.03,15699.34,10961.0,13326.61,36076.27,477509934.72,243261
1513987200000,2017-12-23 00:00:00,BTC,13326.61,14950.0,12978.18,13300.0,13141.54,184759685.33,135005
1514073600000,2017-12-24 00:00:00,BTC,13300.0,13819.99,11640.0,13500.0,28557.53,365709589.6,173557
1514160000000,2017-12-25 00:00:00,BTC,13500.0,14300.0,12708.0,13699.34,15748.21,213139657.63,116416
1514246400000,2017-12-26 00:00:00,BTC,13699.34,16050.0,13533.0,15689.01,15034.67,224843731.9,133133
1514332800000,2017-12-27 00:00:00,BTC,15709.98,16498.05,14200.15,15459.99,14959.86,231229932.48,142202
1514419200000,2017-12-28 00:00:00,BTC,15459.97,15539.99,13150.0,14182.11,21717.86,303401227.99,178032
1514505600000,2017-12-29 00:00:00,BTC,14199.14,14981.0,13850.0,14378.9,18072.01,260911629.22,142100
1514592000000,2017-12-30 00:00:00,BTC,14378.99,14398.85,11750.0,12440.01,19221.16,247803953.75,190204
1514678400000,2017-12-31 00:00:00,BTC,12345.1,14050.11,12149.98,13716.36,11768.99,155283285.37,138893
1514764800000,2018-01-01 00:00:00,BTC,13715.65,13818.55,12750.0,13380.0,8609.92,114799747.44,105595
1514851200000,2018-01-02 00:00:00,BTC,13382.16,15473.49,12890.02,14675.11,20078.09,279717107.43,177728
1514937600000,2018-01-03 00:00:00,BTC,14690.0,15307.56,14150.0,14919.51,15905.67,236116868.34,162787
1515024000000,2018-01-04 00:00:00,BTC,14919.51,15280.0,13918.04,15059.54,21329.65,312781583.8,170310
1515110400000,2018-01-05 00:00:00,BTC,15059.56,17176.24,14600.0,16960.39,23251.49,369321956.49,192969
1515196800000,2018-01-06 00:00:00,BTC,16960.39,17143.13,16011.21,17069.79,18571.46,309216920.99,158242
1515283200000,2018-01-07 00:00:00,BTC,17069.79,17099.96,15610.0,16150.03,12493.13,206194706.37,120269
1515369600000,2018-01-08 00:00:00,BTC,16218.85,16322.3,12812.0,14902.54,26600.61,396569997.16,208642
1515456000000,2018-01-09 00:00:00,BTC,14902.54,15500.0,14011.05,14400.0,14315.0,210630187.46,156656
1515542400000,2018-01-10 00:00:00,BTC,14401.0,14955.66,13131.31,14907.09,17411.0,244011366.76,161476
1515628800000,2018-01-11 00:00:00,BTC,14940.0,14968.68,11400.0,13238.78,33554.72,446587594.69,239416
1515715200000,2018-01-12 00:00:00,BTC,13238.76,14109.78,12500.0,13740.01,16417.16,222516076.27,134452
1515801600000,2018-01-13 00:00:00,BTC,13749.95,14580.0,13706.15,14210.0,12221.51,173086488.55,123639
1515888000000,2018-01-14 00:00:00,BTC,14210.0,14339.5,12569.2,13474.99,17017.89,226525305.13,152364
1515974400000,2018-01-15 00:00:00,BTC,13477.98,14249.99,13147.79,13539.93,14652.09,200614554.54,145362
1516060800000,2018-01-16 00:00:00,BTC,13500.0,13542.93,9035.0,10900.0,63401.17,722150828.15,418243
1516147200000,2018-01-17 00:00:00,BTC,10899.99,11680.99,9037.94,10988.79,72331.8,744154180.13,517293
